label	replace by
NUCLEAR FUSION	Physics
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS	Physics
Chinese Physics C	Physics
NUCLEAR PHYSICS B	Physics
PHYSICAL REVIEW B	Physics
Structural Dynamics	Physics
COMPUTER PHYSICS COMMUNICATIONS	Physics
NEW JOURNAL OF PHYSICS	Physics
ORGANIC ELECTRONICS	Physics
ANNALEN DER PHYSIK	Physics
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA	Physics
PHYSICS TODAY	Physics
Photonics Research	Physics
OPTICS EXPRESS	Physics
PHYSICAL REVIEW C	Physics
APPLIED PHYSICS LETTERS	Physics
OPTICS LETTERS	Physics
JOURNAL OF RHEOLOGY	Physics
JOURNAL OF CHEMICAL PHYSICS	Physics
Solid State Physics	Physics
CLASSICAL AND QUANTUM GRAVITY	Physics
Communications in Nonlinear Science and Numerical Simulation	Physics
PLASMA SOURCES SCIENCE & TECHNOLOGY	Physics
JOURNAL OF PHYSICS D-APPLIED PHYSICS	Physics
PHYSICAL REVIEW A	Physics
SUPERCONDUCTOR SCIENCE & TECHNOLOGY	Physics
JOURNAL OF LUMINESCENCE	Physics
Nanoscale Research Letters	Physics
Physica Status Solidi-Rapid Research Letters	Physics
ATOMIC DATA AND NUCLEAR DATA TABLES	Physics
JOURNAL OF COMPUTATIONAL PHYSICS	Physics
Frontiers of Physics	Physics
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS	Physics
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	Physics
PLASMA PHYSICS AND CONTROLLED FUSION	Physics
LASER PHYSICS LETTERS	Physics
Advances in Theoretical and Mathematical Physics	Physics
SOLID STATE IONICS	Physics
ANNALS OF PHYSICS	Physics
COMMUNICATIONS IN MATHEMATICAL PHYSICS	Physics
EUROPEAN PHYSICAL JOURNAL A	Physics
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS	Physics
Advances in Chemical Physics	Physics
SYNTHETIC METALS	Physics
Applied Physics Express	Physics
PHYSICAL REVIEW E	Physics
JOURNAL OF PHYSICS-CONDENSED MATTER	Physics
PHYSICS OF PLASMAS	Physics
RHEOLOGICA ACTA	Physics
IEEE Photonics Journal	Physics
CURRENT APPLIED PHYSICS	Physics
PHYSICS-USPEKHI	Physics
IONICS	Physics
SUPERLATTICES AND MICROSTRUCTURES	Physics
JOURNAL OF APPLIED PHYSICS	Physics
SEMICONDUCTOR SCIENCE AND TECHNOLOGY	Physics
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT	Physics
COMPTES RENDUS PHYSIQUE	Physics
CHAOS	Physics
JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS	Physics
SOLID STATE SCIENCES	Physics
PHYSICS OF FLUIDS	Physics
IEEE Magnetics Letters	Physics
EPL	Physics
IEEE PHOTONICS TECHNOLOGY LETTERS	Physics
PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	Physics
Journal of Physics A-Mathematical and Theoretical	Physics
SURFACE SCIENCE	Physics
Astronomy and Computing	Physics
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES	Physics
Chinese Optics Letters	Physics
Progress of Theoretical and Experimental Physics	Physics
JOURNAL OF SYNCHROTRON RADIATION	Physics
Journal of Optics	Physics
IEEE JOURNAL OF QUANTUM ELECTRONICS	Physics
Quantum Information Processing	Physics
Advances in High Energy Physics	Physics
MOLECULAR PHYSICS	Physics
JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS	Physics
JOURNAL OF NON-CRYSTALLINE SOLIDS	Physics
INTERNATIONAL JOURNAL OF MODERN PHYSICS A	Physics
APPLIED PHYSICS B-LASERS AND OPTICS	Physics
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS	Physics
Communications in Computational Physics	Physics
ANNALES HENRI POINCARE	Physics
Progress in Natural Science-Materials International	Physics
Entropy	Physics
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS	Physics
High Energy Density Physics	Physics
PHYSICS LETTERS A	Physics
GENERAL RELATIVITY AND GRAVITATION	Physics
INVERSE PROBLEMS	Physics
ECS Journal of Solid State Science and Technology	Physics
LASER AND PARTICLE BEAMS	Physics
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE	Physics
EUROPEAN PHYSICAL JOURNAL E	Physics
CHAOS SOLITONS & FRACTALS	Physics
APPLIED OPTICS	Physics
INFRARED PHYSICS & TECHNOLOGY	Physics
PHYSICA D-NONLINEAR PHENOMENA	Physics
Science China-Physics Mechanics & Astronomy	Physics
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	Physics
JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN	Physics
JOURNAL OF STATISTICAL PHYSICS	Physics
Journal of Photonics for Energy	Physics
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS	Physics
European Physical Journal Plus	Physics
LETTERS IN MATHEMATICAL PHYSICS	Physics
Photonics and Nanostructures-Fundamentals and Applications	Physics
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS	Physics
Journal of Nanophotonics	Physics
OPTICS COMMUNICATIONS	Physics
JOURNAL OF TURBULENCE	Physics
APPLIED ACOUSTICS	Physics
SOLID STATE COMMUNICATIONS	Physics
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION	Physics
WAVE MOTION	Physics
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING	Physics
Chinese Physics B	Physics
European Physical Journal-Special Topics	Physics
Progress in Optics	Physics
Romanian Journal of Physics	Physics
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS	Physics
Romanian Reports in Physics	Physics
PHYSICA B-CONDENSED MATTER	Physics
SOLID-STATE ELECTRONICS	Physics
Results in Physics	Physics
QUANTUM INFORMATION & COMPUTATION	Physics
THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS	Physics
Physical Review Special Topics-Physics Education Research	Physics
Physical Review Special Topics-Physics Education Research	Physics
OPEN SYSTEMS & INFORMATION DYNAMICS	Physics
IEEE TRANSACTIONS ON MAGNETICS	Physics
JOURNAL OF MODERN OPTICS	Physics
NUCLEAR PHYSICS A	Physics
CONTRIBUTIONS TO PLASMA PHYSICS	Physics
RIVISTA DEL NUOVO CIMENTO	Physics
APPLIED RHEOLOGY	Physics
JOURNAL OF MATHEMATICAL PHYSICS	Physics
INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS	Physics
INTERNATIONAL JOURNAL OF PHOTOENERGY	Physics
EUROPEAN PHYSICAL JOURNAL B	Physics
REVIEWS IN MATHEMATICAL PHYSICS	Physics
EUROPEAN PHYSICAL JOURNAL D	Physics
RADIATION PHYSICS AND CHEMISTRY	Physics
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT	Physics
Quantitative InfraRed Thermography Journal	Physics
Journal of the European Optical Society-Rapid Publications	Physics
IEEE TRANSACTIONS ON NUCLEAR SCIENCE	Physics
INTERNATIONAL JOURNAL OF MODERN PHYSICS C	Physics
PHYSICA SCRIPTA	Physics
JETP LETTERS	Physics
INDIAN JOURNAL OF PHYSICS	Physics
ECS Solid State Letters	Physics
Metrology and Measurement Systems	Physics
APPLIED RADIATION AND ISOTOPES	Physics
JAPANESE JOURNAL OF APPLIED PHYSICS	Physics
MODERN PHYSICS LETTERS A	Physics
Journal of X-Ray Science and Technology	Physics
LASER PHYSICS	Physics
Journal of Superconductivity and Novel Magnetism	Physics
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY	Physics
RADIATION MEASUREMENTS	Physics
Waves in Random and Complex Media	Physics
Radiophysics and Quantum Electronics	Physics
HIGH TEMPERATURE	Physics
BRAZILIAN JOURNAL OF PHYSICS	Physics
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	Physics
Symmetry Integrability and Geometry-Methods and Applications	Physics
CRYOGENICS	Physics
Journal of Mathematical Fluid Mechanics	Physics
FOUNDATIONS OF PHYSICS	Physics
SURFACE AND INTERFACE ANALYSIS	Physics
HIGH PRESSURE RESEARCH	Physics
AMERICAN JOURNAL OF PHYSICS	Physics
PLASMA PHYSICS REPORTS	Physics
JOURNAL OF PLASMA PHYSICS	Physics
QUANTUM ELECTRONICS	Physics
IEEE TRANSACTIONS ON PLASMA SCIENCE	Physics
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS	Physics
NANO	Physics
CENTRAL EUROPEAN JOURNAL OF PHYSICS	Physics
COMMUNICATIONS IN THEORETICAL PHYSICS	Physics
Advances in Condensed Matter Physics	Physics
European Physical Journal H	Physics
PHILOSOPHICAL MAGAZINE LETTERS	Physics
ACTA ACUSTICA UNITED WITH ACUSTICA	Physics
Topics in Applied Physics	Physics
CHINESE PHYSICS LETTERS	Physics
RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS	Physics
REPORTS ON MATHEMATICAL PHYSICS	Physics
PHASE TRANSITIONS	Physics
INTERNATIONAL JOURNAL OF MODERN PHYSICS B	Physics
PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS	Physics
PHYSICS OF THE SOLID STATE	Physics
THEORETICAL AND MATHEMATICAL PHYSICS	Physics
Journal of the Optical Society of Korea	Physics
FLUCTUATION AND NOISE LETTERS	Physics
Journal of Engineering Thermophysics	Physics
NUCLEAR DATA SHEETS	Physics
ACTA PHYSICA POLONICA B	Physics
Advances in Mathematical Physics	Physics
JOURNAL OF LOW TEMPERATURE PHYSICS	Physics
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION	Physics
Ukrainian Journal of Physical Optics	Physics
INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS	Physics
POWDER DIFFRACTION	Physics
OPTIK	Physics
INDIAN JOURNAL OF PURE & APPLIED PHYSICS	Physics
CANADIAN JOURNAL OF PHYSICS	Physics
Micro & Nano Letters	Physics
TECHNICAL PHYSICS LETTERS	Physics
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION	Physics
SEMICONDUCTORS	Physics
ACOUSTICAL PHYSICS	Physics
PRAMANA-JOURNAL OF PHYSICS	Physics
ACTA PHYSICA SINICA	Physics
Chalcogenide Letters	Physics
LOW TEMPERATURE PHYSICS	Physics
EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS	Physics
Russian Physics Journal	Physics
Archives of Acoustics	Physics
PLASMA SCIENCE & TECHNOLOGY	Physics
Nuclear Science and Techniques	Physics
MAPAN-Journal of Metrology Society of India	Physics
STUDIES IN HISTORY AND PHILOSOPHY OF MODERN PHYSICS	Physics
Acoustics Australia	Physics
Condensed Matter Physics	Physics
JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS	Physics
EUROPEAN JOURNAL OF PHYSICS	Physics
FERROELECTRICS LETTERS SECTION	Physics
Magnetohydrodynamics	Physics
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS	Physics
Lithuanian Journal of Physics	Physics
TECHNICAL PHYSICS	Physics
FEW-BODY SYSTEMS	Physics
MODERN PHYSICS LETTERS B	Physics
NUKLEONIKA	Physics
JOURNAL OF COMPUTATIONAL ACOUSTICS	Physics
TRANSPORT THEORY AND STATISTICAL PHYSICS	Physics
ACTA PHYSICA POLONICA A	Physics
PHYSICS OF PARTICLES AND NUCLEI	Physics
DOKLADY PHYSICS	Physics
ACTA PHYSICA SLOVACA	Physics
Physics of Wave Phenomena	Physics
CHINESE JOURNAL OF CHEMICAL PHYSICS	Physics
OPTICAL REVIEW	Physics
FERROELECTRICS	Physics
Communications in Number Theory and Physics	Physics
Radiation Effects and Defects in Solids	Physics
CHINESE JOURNAL OF PHYSICS	Physics
PHYSICS OF ATOMIC NUCLEI	Physics
IMAGING SCIENCE JOURNAL	Physics
JOURNAL OF THE KOREAN PHYSICAL SOCIETY	Physics
Russian Journal of Physical Chemistry B	Physics
SURFACE REVIEW AND LETTERS	Physics
Journal of Magnetics	Physics
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI	Physics
REVISTA MEXICANA DE FISICA	Physics
FIBER AND INTEGRATED OPTICS	Physics
Thermophysics and Aeromechanics	Physics
Bulletin of the Lebedev Physics Institute	Physics
Journal of Contemporary Physics-Armenian Academy of Sciences	Physics
Moscow University Physics Bulletin	Physics
Journal of Applied Mechanics and Technical Physics	Physics
JOURNAL OF INFRARED AND MILLIMETER WAVES	Physics
Mechanics of Solids	Physics
PHYSICS WORLD	Physics
Journal of Mathematical Physics Analysis Geometry	Physics
PHYSICS IN PERSPECTIVE	Physics
PHYSICS IN PERSPECTIVE	Physics
Open Physics	Physics
Annual Review of Plant Biology	Plant & Animal Science
STUDIES IN MYCOLOGY	Plant & Animal Science
Annual Review of Entomology	Plant & Animal Science
TRENDS IN PLANT SCIENCE	Plant & Animal Science
Annual Review of Phytopathology	Plant & Animal Science
PLANT CELL	Plant & Animal Science
FISH AND FISHERIES	Plant & Animal Science
NEW PHYTOLOGIST	Plant & Animal Science
Molecular Plant	Plant & Animal Science
FUNGAL DIVERSITY	Plant & Animal Science
CURRENT OPINION IN PLANT BIOLOGY	Plant & Animal Science
PLANT PHYSIOLOGY	Plant & Animal Science
PLANT CELL AND ENVIRONMENT	Plant & Animal Science
PLANT BIOTECHNOLOGY JOURNAL	Plant & Animal Science
PERSOONIA	Plant & Animal Science
JOURNAL OF EXPERIMENTAL BOTANY	Plant & Animal Science
PLANT JOURNAL	Plant & Animal Science
WILDLIFE MONOGRAPHS	Plant & Animal Science
CLADISTICS	Plant & Animal Science
JOURNAL OF ANIMAL ECOLOGY	Plant & Animal Science
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Plant & Animal Science
CRITICAL REVIEWS IN PLANT SCIENCES	Plant & Animal Science
Reviews in Aquaculture	Plant & Animal Science
Evolutionary Applications	Plant & Animal Science
Oceanography and Marine Biology	Plant & Animal Science
Frontiers in Plant Science	Plant & Animal Science
Annual Review of Animal Biosciences	Plant & Animal Science
MOLECULAR PLANT PATHOLOGY	Plant & Animal Science
HYSTRIX-Italian Journal of Mammalogy	Plant & Animal Science
PLANT AND CELL PHYSIOLOGY	Plant & Animal Science
MOLECULAR PLANT-MICROBE INTERACTIONS	Plant & Animal Science
PHOTOSYNTHESIS RESEARCH	Plant & Animal Science
MAMMAL REVIEW	Plant & Animal Science
EVOLUTION	Plant & Animal Science
ANNALS OF BOTANY	Plant & Animal Science
PLANT MOLECULAR BIOLOGY	Plant & Animal Science
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY	Plant & Animal Science
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	Plant & Animal Science
Journal of Integrative Plant Biology	Plant & Animal Science
BMC PLANT BIOLOGY	Plant & Animal Science
TREE PHYSIOLOGY	Plant & Animal Science
AQUATIC TOXICOLOGY	Plant & Animal Science
PHYSIOLOGIA PLANTARUM	Plant & Animal Science
Plant Genome	Plant & Animal Science
Plant Methods	Plant & Animal Science
Advances in Insect Physiology	Plant & Animal Science
BMC EVOLUTIONARY BIOLOGY	Plant & Animal Science
PLANT SCIENCE	Plant & Animal Science
SYSTEMATIC ENTOMOLOGY	Plant & Animal Science
MYCORRHIZA	Plant & Animal Science
PLANTA	Plant & Animal Science
REVIEWS IN FISH BIOLOGY AND FISHERIES	Plant & Animal Science
PLANT DISEASE	Plant & Animal Science
ANIMAL BEHAVIOUR	Plant & Animal Science
JOURNAL OF VEGETATION SCIENCE	Plant & Animal Science
JOURNAL OF SYSTEMATIC PALAEONTOLOGY	Plant & Animal Science
JOURNAL OF PEST SCIENCE	Plant & Animal Science
PLANT CELL REPORTS	Plant & Animal Science
MARINE BIOTECHNOLOGY	Plant & Animal Science
Frontiers in Zoology	Plant & Animal Science
BEHAVIORAL ECOLOGY	Plant & Animal Science
FISH & SHELLFISH IMMUNOLOGY	Plant & Animal Science
PHYTOPATHOLOGY	Plant & Animal Science
BIOFOULING	Plant & Animal Science
CORAL REEFS	Plant & Animal Science
JOURNAL OF PLANT PHYSIOLOGY	Plant & Animal Science
INTEGRATIVE AND COMPARATIVE BIOLOGY	Plant & Animal Science
FRESHWATER BIOLOGY	Plant & Animal Science
FUNGAL GENETICS AND BIOLOGY	Plant & Animal Science
PLANT PHYSIOLOGY AND BIOCHEMISTRY	Plant & Animal Science
VETERINARY RESEARCH	Plant & Animal Science
TAXON	Plant & Animal Science
INSECT MOLECULAR BIOLOGY	Plant & Animal Science
FOREST ECOLOGY AND MANAGEMENT	Plant & Animal Science
Biology Letters	Plant & Animal Science
AMERICAN JOURNAL OF BOTANY	Plant & Animal Science
PHYTOCHEMISTRY	Plant & Animal Science
JOURNAL OF EVOLUTIONARY BIOLOGY	Plant & Animal Science
ZOOLOGICA SCRIPTA	Plant & Animal Science
FISHERIES OCEANOGRAPHY	Plant & Animal Science
Current Opinion in Insect Science	Plant & Animal Science
Transboundary and Emerging Diseases	Plant & Animal Science
PRESLIA	Plant & Animal Science
PHYTOCHEMISTRY REVIEWS	Plant & Animal Science
HARMFUL ALGAE	Plant & Animal Science
Estuaries and Coasts	Plant & Animal Science
MEDICAL MYCOLOGY	Plant & Animal Science
MYCOLOGIA	Plant & Animal Science
Fungal Ecology	Plant & Animal Science
ICES JOURNAL OF MARINE SCIENCE	Plant & Animal Science
Zoonoses and Public Health	Plant & Animal Science
Tree-Ring Research	Plant & Animal Science
VETERINARY MICROBIOLOGY	Plant & Animal Science
Insect Science	Plant & Animal Science
JOURNAL OF PHYCOLOGY	Plant & Animal Science
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	Plant & Animal Science
PHYTOCHEMICAL ANALYSIS	Plant & Animal Science
FUNCTIONAL PLANT BIOLOGY	Plant & Animal Science
FEMS YEAST RESEARCH	Plant & Animal Science
EQUINE VETERINARY JOURNAL	Plant & Animal Science
Plant Reproduction	Plant & Animal Science
Veterinary and Comparative Oncology	Plant & Animal Science
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES	Plant & Animal Science
Freshwater Science	Plant & Animal Science
FISHERIES	Plant & Animal Science
AQUATIC SCIENCES	Plant & Animal Science
PLANT CELL TISSUE AND ORGAN CULTURE	Plant & Animal Science
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY	Plant & Animal Science
Myrmecological News	Plant & Animal Science
PLANT PATHOLOGY	Plant & Animal Science
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	Plant & Animal Science
MARINE BIOLOGY	Plant & Animal Science
JOURNAL OF APPLIED PHYCOLOGY	Plant & Animal Science
Insect Conservation and Diversity	Plant & Animal Science
Plant Ecology & Diversity	Plant & Animal Science
PROTOPLASMA	Plant & Animal Science
ESTUARINE COASTAL AND SHELF SCIENCE	Plant & Animal Science
PLANT GROWTH REGULATION	Plant & Animal Science
MYCOSES	Plant & Animal Science
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	Plant & Animal Science
APPLIED VEGETATION SCIENCE	Plant & Animal Science
PLANT MOLECULAR BIOLOGY REPORTER	Plant & Animal Science
Evolutionary Biology	Plant & Animal Science
JOURNAL OF INSECT PHYSIOLOGY	Plant & Animal Science
YEAST	Plant & Animal Science
Fungal Biology	Plant & Animal Science
JOURNAL OF MAMMALIAN EVOLUTION	Plant & Animal Science
MEDICAL AND VETERINARY ENTOMOLOGY	Plant & Animal Science
VETERINARY PARASITOLOGY	Plant & Animal Science
FISHERIES RESEARCH	Plant & Animal Science
PLANT BIOLOGY	Plant & Animal Science
EUROPEAN JOURNAL OF PHYCOLOGY	Plant & Animal Science
JOURNAL OF INVERTEBRATE PATHOLOGY	Plant & Animal Science
JOURNAL OF AVIAN BIOLOGY	Plant & Animal Science
PREVENTIVE VETERINARY MEDICINE	Plant & Animal Science
Zebrafish	Plant & Animal Science
JOURNAL OF MARINE SYSTEMS	Plant & Animal Science
EVOLUTION & DEVELOPMENT	Plant & Animal Science
JOURNAL OF PLANT GROWTH REGULATION	Plant & Animal Science
ANIMAL COGNITION	Plant & Animal Science
REVIEW OF PALAEOBOTANY AND PALYNOLOGY	Plant & Animal Science
INVERTEBRATE SYSTEMATICS	Plant & Animal Science
JOURNAL OF PLANKTON RESEARCH	Plant & Animal Science
JOURNAL OF SEA RESEARCH	Plant & Animal Science
REPRODUCTION FERTILITY AND DEVELOPMENT	Plant & Animal Science
Tree Genetics & Genomes	Plant & Animal Science
VETERINARY PATHOLOGY	Plant & Animal Science
AQUATIC MICROBIAL ECOLOGY	Plant & Animal Science
MOLECULAR BREEDING	Plant & Animal Science
DENDROCHRONOLOGIA	Plant & Animal Science
AMERICAN JOURNAL OF PRIMATOLOGY	Plant & Animal Science
World Mycotoxin Journal	Plant & Animal Science
ANNALS OF FOREST SCIENCE	Plant & Animal Science
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION	Plant & Animal Science
JOURNAL OF APICULTURAL RESEARCH	Plant & Animal Science
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION	Plant & Animal Science
AoB Plants	Plant & Animal Science
INTERNATIONAL JOURNAL OF WILDLAND FIRE	Plant & Animal Science
ILAR JOURNAL	Plant & Animal Science
Advances in Marine Biology	Plant & Animal Science
Animal	Plant & Animal Science
JOURNAL OF FISH DISEASES	Plant & Animal Science
ECOLOGY OF FRESHWATER FISH	Plant & Animal Science
HYDROBIOLOGIA	Plant & Animal Science
EUROPEAN JOURNAL OF FOREST RESEARCH	Plant & Animal Science
VEGETATION HISTORY AND ARCHAEOBOTANY	Plant & Animal Science
Fottea	Plant & Animal Science
JOURNAL OF ANIMAL SCIENCE	Plant & Animal Science
BIOLOGICAL CONTROL	Plant & Animal Science
CONTINENTAL SHELF RESEARCH	Plant & Animal Science
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY	Plant & Animal Science
Mycotoxin Research	Plant & Animal Science
Wulfenia	Plant & Animal Science
Aquaculture Environment Interactions	Plant & Animal Science
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	Plant & Animal Science
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES	Plant & Animal Science
INSECT SYSTEMATICS & EVOLUTION	Plant & Animal Science
FORESTRY	Plant & Animal Science
JOURNAL OF GREAT LAKES RESEARCH	Plant & Animal Science
HERPETOLOGICAL MONOGRAPHS	Plant & Animal Science
AQUACULTURE	Plant & Animal Science
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY	Plant & Animal Science
Marine Genomics	Plant & Animal Science
MEDITERRANEAN MARINE SCIENCE	Plant & Animal Science
AUK	Plant & Animal Science
DIATOM RESEARCH	Plant & Animal Science
BULLETIN OF MARINE SCIENCE	Plant & Animal Science
AQUATIC BOTANY	Plant & Animal Science
MycoKeys	Plant & Animal Science
CONTRIBUTIONS TO ZOOLOGY	Plant & Animal Science
THERIOGENOLOGY	Plant & Animal Science
PHYTOCOENOLOGIA	Plant & Animal Science
JOURNAL OF VETERINARY INTERNAL MEDICINE	Plant & Animal Science
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH	Plant & Animal Science
JOURNAL OF ZOOLOGY	Plant & Animal Science
EXPERIMENTAL AND APPLIED ACAROLOGY	Plant & Animal Science
AGRICULTURAL AND FOREST ENTOMOLOGY	Plant & Animal Science
IBIS	Plant & Animal Science
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	Plant & Animal Science
APPLIED ANIMAL BEHAVIOUR SCIENCE	Plant & Animal Science
ANIMAL GENETICS	Plant & Animal Science
ALGAE	Plant & Animal Science
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE	Plant & Animal Science
DISEASES OF AQUATIC ORGANISMS	Plant & Animal Science
Journal of Plant Ecology	Plant & Animal Science
BULLETIN OF ENTOMOLOGICAL RESEARCH	Plant & Animal Science
Current Zoology	Plant & Animal Science
JOURNAL OF ANIMAL BREEDING AND GENETICS	Plant & Animal Science
VETERINARY RECORD	Plant & Animal Science
VETERINARY OPHTHALMOLOGY	Plant & Animal Science
ORGANISMS DIVERSITY & EVOLUTION	Plant & Animal Science
JOURNAL OF WILDLIFE MANAGEMENT	Plant & Animal Science
Integrative Zoology	Plant & Animal Science
ETHOLOGY	Plant & Animal Science
ANIMAL FEED SCIENCE AND TECHNOLOGY	Plant & Animal Science
JOURNAL OF MEDICAL ENTOMOLOGY	Plant & Animal Science
HOLZFORSCHUNG	Plant & Animal Science
TREES-STRUCTURE AND FUNCTION	Plant & Animal Science
FOREST SCIENCE	Plant & Animal Science
ZOOLOGY	Plant & Animal Science
ECOLOGICAL ENTOMOLOGY	Plant & Animal Science
POULTRY SCIENCE	Plant & Animal Science
JOURNAL OF PLANT RESEARCH	Plant & Animal Science
CANADIAN JOURNAL OF FOREST RESEARCH	Plant & Animal Science
VETERINARY JOURNAL	Plant & Animal Science
JOURNAL OF PLANT BIOLOGY	Plant & Animal Science
MYCOPATHOLOGIA	Plant & Animal Science
BIOLOGIA PLANTARUM	Plant & Animal Science
MARINE MAMMAL SCIENCE	Plant & Animal Science
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY	Plant & Animal Science
APIDOLOGIE	Plant & Animal Science
Arthropod Systematics & Phylogeny	Plant & Animal Science
ETHOLOGY ECOLOGY & EVOLUTION	Plant & Animal Science
INTERNATIONAL JOURNAL OF PRIMATOLOGY	Plant & Animal Science
Marine Biology Research	Plant & Animal Science
Alpine Botany	Plant & Animal Science
BMC Veterinary Research	Plant & Animal Science
WOOD SCIENCE AND TECHNOLOGY	Plant & Animal Science
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH	Plant & Animal Science
JOURNAL OF HELMINTHOLOGY	Plant & Animal Science
PHYCOLOGIA	Plant & Animal Science
JOURNAL OF THERMAL BIOLOGY	Plant & Animal Science
EUPHYTICA	Plant & Animal Science
JOURNAL OF ECONOMIC ENTOMOLOGY	Plant & Animal Science
AQUACULTURE RESEARCH	Plant & Animal Science
MAMMALIAN BIOLOGY	Plant & Animal Science
FLORA	Plant & Animal Science
AUSTRALIAN JOURNAL OF BOTANY	Plant & Animal Science
Forests	Plant & Animal Science
MARINE AND FRESHWATER RESEARCH	Plant & Animal Science
MYCOLOGICAL PROGRESS	Plant & Animal Science
VETERINARY DERMATOLOGY	Plant & Animal Science
ACTA PHYSIOLOGIAE PLANTARUM	Plant & Animal Science
ARTHROPOD STRUCTURE & DEVELOPMENT	Plant & Animal Science
JOURNAL OF MAMMALOGY	Plant & Animal Science
PHOTOSYNTHETICA	Plant & Animal Science
LABORATORY ANIMALS	Plant & Animal Science
FOREST POLICY AND ECONOMICS	Plant & Animal Science
BREEDING SCIENCE	Plant & Animal Science
INTERNATIONAL JOURNAL OF PLANT SCIENCES	Plant & Animal Science
JOURNAL OF STORED PRODUCTS RESEARCH	Plant & Animal Science
PHYSIOLOGICAL ENTOMOLOGY	Plant & Animal Science
CANADIAN JOURNAL OF ZOOLOGY	Plant & Animal Science
JOURNAL OF APPLIED ENTOMOLOGY	Plant & Animal Science
JOURNAL OF FIELD ORNITHOLOGY	Plant & Animal Science
ZOOLOGISCHER ANZEIGER	Plant & Animal Science
AQUACULTURE NUTRITION	Plant & Animal Science
