Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Almadori, Y., Borowik, L., Chevalier, N., Hourani, W., Glowacki, F., Barbé, J.-C.","42160920700; 35782711500; 8937414700; 36930341500; 6602428469; 35512150600","From Solid-State Dewetting of Ultrathin, Compressively Strained Silicon-Germanium-on-Insulator Films to Mastering the Stoichiometry of Si<inf>1-x</inf>Ge<inf>x</inf> Nanocrystals",2016,"Journal of Physical Chemistry C",120,"13",,7412,7420,,2,10.1021/acs.jpcc.6b01093,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964555223&partnerID=40&md5=1ffcb7cb8f9eb754b03949273bc4735b",Article,Final,,Scopus,2-s2.0-84964555223
"Van Zanten, D.M.T., Basko, D.M., Khaymovich, I.M., Pekola, J.P., Courtois, H., Winkelmann, C.B.","55839420100; 7003502589; 26867827700; 7006198545; 7102159922; 8721842500","Single Quantum Level Electron Turnstile",2016,"Physical Review Letters",116,"16", 166801,,,,19,10.1103/PhysRevLett.116.166801,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964220720&partnerID=40&md5=5a7584e78f597fc996d5fd159297adcf",Article,Final,,Scopus,2-s2.0-84964220720
"Thomas, A., Belaidi, E., Aron-Wisnewsky, J., Van Der Zon, G.C., Levy, P., Clement, K., Pepin, J.-L., Godin-Ribuot, D., Guigas, B.","56026175900; 12785071000; 35331621400; 6603411885; 7202556569; 7005043037; 35399985100; 6701848028; 7801346250","Hypoxia-inducible factor prolyl hydroxylase 1 (PHD1) deficiency promotes hepatic steatosis and liver-specific insulin resistance in mice",2016,"Scientific Reports",6,"", 24618,,,,10,10.1038/srep24618,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964344851&partnerID=40&md5=9df4958f4329e2048481224583add16b",Article,Final,Open Access,Scopus,2-s2.0-84964344851
"Causse, B., Spadini, L., Sarret, G., Faure, A., Travelet, C., Madern, D., Delolme, C.","15753257000; 24296934500; 6602830109; 57188967670; 15849609600; 6701785919; 6602379252","Xanthan Exopolysaccharide: Cu<sup>2+</sup> Complexes Affected from the pH-Dependent Conformational State; Implications for Environmentally Relevant Biopolymers",2016,"Environmental Science and Technology",50,"7",,3477,3485,,4,10.1021/acs.est.5b03141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964350749&partnerID=40&md5=9a7b21309cc4332b7c65118312a7864e",Article,Final,,Scopus,2-s2.0-84964350749
"Meier, C., Voegelin, A., Pradas Del Real, A., Sarret, G., Mueller, C.R., Kaegi, R.","57188965768; 8730920800; 36633030600; 6602830109; 57188967036; 55954451800","Transformation of Silver Nanoparticles in Sewage Sludge during Incineration",2016,"Environmental Science and Technology",50,"7",,3503,3510,,32,10.1021/acs.est.5b04804,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964336354&partnerID=40&md5=4b3bc86f8bf92bc1c87c07af394e6427",Article,Final,,Scopus,2-s2.0-84964336354
"Tomaz, S., Shahpoury, P., Jaffrezo, J.-L., Lammel, G., Perraudin, E., Villenave, E., Albinet, A.","55612955700; 55797026400; 7003603120; 25024202700; 9041987100; 56177107100; 55957913100","One-year study of polycyclic aromatic compounds at an urban site in Grenoble (France): Seasonal variations, gas/particle partitioning and cancer risk estimation",2016,"Science of the Total Environment",565,"",,1071,1083,,37,10.1016/j.scitotenv.2016.05.137,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84973514414&partnerID=40&md5=bdf54c384fc5b630517225dd289f689c",Article,Final,,Scopus,2-s2.0-84973514414
"Jacquemin, D., Duchemin, I., Blase, X.","22944502300; 23391802300; 57208766029","Assessment of the convergence of partially self-consistent BSE/ GW calculations",2016,"Molecular Physics",114,"7-8",,957,967,,10,10.1080/00268976.2015.1119901,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949771664&partnerID=40&md5=7e19fc764ed7a25d86ec488675927ede",Article,Final,,Scopus,2-s2.0-84949771664
"Fortenberry, R.C., Roueff, E., Lee, T.J.","36011447200; 7004034495; 55902054800","Inclusion of <sup>13</sup>C and D in protonated acetylene",2016,"Chemical Physics Letters",650,"",,126,129,,10,10.1016/j.cplett.2016.02.068,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960871163&partnerID=40&md5=026449ed060667487d2e5864fccb1a4a",Article,Final,,Scopus,2-s2.0-84960871163
"Mizuno, H., Silbert, L.E., Sperl, M., Mossa, S., Barrat, J.-L.","36519330900; 7003403534; 8575360600; 55888318300; 7102283192","Cutoff nonlinearities in the low-temperature vibrations of glasses and crystals",2016,"Physical Review E",93,"4", 043314,,,,3,10.1103/PhysRevE.93.043314,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964432587&partnerID=40&md5=3209bfdfcc1800e5b02f7744c9c84ae6",Article,Final,Open Access,Scopus,2-s2.0-84964432587
"Dadé, M., Malaplate, J., Garnier, J., De Geuser, F., Lochet, N., Deschamps, A.","56741075400; 23994129000; 24802263400; 57207841527; 6503990350; 7006509152","Influence of consolidation methods on the recrystallization kinetics of a Fe-14Cr based ODS steel",2016,"Journal of Nuclear Materials",472,"",,143,152,,27,10.1016/j.jnucmat.2016.01.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959419283&partnerID=40&md5=acf20fed2d817e196260480ebdeb7804",Article,Final,,Scopus,2-s2.0-84959419283
"Hart, M.J., Bassiri, R., Borisenko, K.B., Véron, M., Rauch, E.F., Martin, I.W., Rowan, S., Fejer, M.M., Maclaren, I.","57114314300; 26427578800; 7006388534; 7103095539; 55626323700; 57204717060; 55154072200; 35227187900; 55405913700","Medium range structural order in amorphous tantala spatially resolved with changes to atomic structure by thermal annealing",2016,"Journal of Non-Crystalline Solids",438,"",,10,17,,15,10.1016/j.jnoncrysol.2016.02.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958254827&partnerID=40&md5=097a2176e94e802ff3fa958f76c375e5",Article,Final,Open Access,Scopus,2-s2.0-84958254827
"Sallez, N., Hatzoglou, C., Delabrouille, F., Sornin, D., Chaffron, L., Blat-Yrieix, M., Radiguet, B., Pareige, P., Donnadieu, P., Bréchet, Y.","56382980200; 56358604800; 14015459800; 26428540800; 6604021755; 25921772300; 15754794800; 7004259167; 55951909300; 12796880800","Precipitates and boundaries interaction in ferritic ODS steels",2016,"Journal of Nuclear Materials",472,"",,118,126,,9,10.1016/j.jnucmat.2016.01.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959010724&partnerID=40&md5=a06c1b2fd177ccc489899ba936bf1a95",Article,Final,,Scopus,2-s2.0-84959010724
"Cappanera, L., Guermond, J.-L., Léorat, J., Nore, C.","56606214400; 7003329194; 6603514604; 6603864856","Two spinning ways for precession dynamo",2016,"Physical Review E",93,"4", 043113,,,,5,10.1103/PhysRevE.93.043113,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964335856&partnerID=40&md5=b2addc986651c692e8a15c552073606c",Article,Final,Open Access,Scopus,2-s2.0-84964335856
"Trifol, J., Plackett, D., Sillard, C., Hassager, O., Daugaard, A.E., Bras, J., Szabo, P.","55351309200; 6505912809; 56376359500; 56800377400; 24467353200; 24334120200; 35325472300","A comparison of partially acetylated nanocellulose, nanocrystalline cellulose, and nanoclay as fillers for high-performance polylactide nanocomposites",2016,"Journal of Applied Polymer Science",133,"14", 43257,,,,32,10.1002/app.43257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954397415&partnerID=40&md5=24b9391cc21a3c429551508888bb18d0",Article,Final,,Scopus,2-s2.0-84954397415
"Caron-Soupart, A., Fourmigué, J.-F., Marty, P., Couturier, R.","57131022000; 8527523600; 7101788538; 36818027300","Performance analysis of thermal energy storage systems using phase change material",2016,"Applied Thermal Engineering",98,"",,1286,1296,,17,10.1016/j.applthermaleng.2016.01.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958824577&partnerID=40&md5=442dd0bf9a1e8e0c05eb5b5664e5ac8d",Article,Final,,Scopus,2-s2.0-84958824577
"Fu, Y., Barsukov, I., Li, J., Gonçalves, A.M., Kuo, C.C., Farle, M., Krivorotov, I.N.","55712875200; 7005784574; 56368017300; 57197513749; 56650427700; 7005218400; 6701843693","Temperature dependence of perpendicular magnetic anisotropy in CoFeB thin films",2016,"Applied Physics Letters",108,"14", 142403,,,,14,10.1063/1.4945682,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964264790&partnerID=40&md5=8e146ae16c7e9f620256a6c0122674d0",Article,Final,,Scopus,2-s2.0-84964264790
"Veliev, F., Briançon-Marjollet, A., Bouchiat, V., Delacour, C.","57189889369; 6507978137; 6603839154; 14046631500","Impact of crystalline quality on neuronal affinity of pristine graphene",2016,"Biomaterials",86,"",,33,41,,25,10.1016/j.biomaterials.2016.01.042,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975764598&partnerID=40&md5=dca46644bc35e41a42c6ea471284a510",Article,Final,,Scopus,2-s2.0-84975764598
"Duvauchelle, J.E., Pfeffer, A.H., Courtois, H., Lefloch, F.","55922001000; 36175130500; 7102159922; 6602215656","Quantum Coherence of the Quartet Scheme Observed by Shapiro Resonance under Radio-Frequency Irradiation in Three Terminal Josephson Junctions",2016,"IEEE Transactions on Applied Superconductivity",26,"3", 7383237,,,,1,10.1109/TASC.2016.2515854,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976481500&partnerID=40&md5=7c77ab02fa142c3c18287225b6c61311",Article,Final,,Scopus,2-s2.0-84976481500
"Bacmann, A., García-García, E., Faure, A.","6602600810; 57188642438; 7006688769","Detection of protonated formaldehyde in the prestellar core L1689B",2016,"Astronomy and Astrophysics",588,"", L8,,,,5,10.1051/0004-6361/201628280,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962006702&partnerID=40&md5=53ae8430b8bf8a54211181699878b6ae",Article,Final,Open Access,Scopus,2-s2.0-84962006702
"Effeindzourou, A., Chareyre, B., Thoeni, K., Giacomini, A., Kneib, F.","56367960000; 24766090800; 50162396100; 7004030720; 56080411900","Modelling of deformable structures in the general framework of the discrete element method",2016,"Geotextiles and Geomembranes",44,"2",,143,156,,19,10.1016/j.geotexmem.2015.07.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939439879&partnerID=40&md5=c6330567eed278da0f2e2de59f813745",Article,Final,,Scopus,2-s2.0-84939439879
"Boussaha, F., Chaumont, C., Feret, A., Caputo, J.-G., Vacelet, T.","7801411404; 57189365037; 6506389054; 56036239300; 55327921300","Optimized Nonuniform Nb SIS Parallel Josephson Junction Array Oscillators",2016,"IEEE Transactions on Applied Superconductivity",26,"3", 7422685,,,,3,10.1109/TASC.2016.2536604,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969801350&partnerID=40&md5=08c831a339ebdfd00b6d824b52f119dd",Article,Final,,Scopus,2-s2.0-84969801350
"Longeaud, C., Fath Allah, A., Schmidt, J., El Yaakoubi, M., Berson, S., Lemaitre, N.","7004049723; 57096025700; 8053708300; 57083165800; 16416810600; 12139701400","Determination of diffusion lengths in organic semiconductors: Correlation with solar cell performances",2016,"Organic Electronics",31,"",,253,257,,7,10.1016/j.orgel.2016.01.043,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957075137&partnerID=40&md5=2cde902cfffbfd6dabefda68d46fd78a",Article,Final,,Scopus,2-s2.0-84957075137
"Boguslawski, B., Heitzmann, F., Larras, B., Seguin, F.","55650035700; 55845104300; 55842377500; 56238951600","Energy-Efficient Associative Memory Based on Neural Cliques",2016,"IEEE Transactions on Circuits and Systems II: Express Briefs",63,"4", 7347365,376,380,,2,10.1109/TCSII.2015.2504946,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964504933&partnerID=40&md5=127afcc85b2e7c0c9a123f63a2a10ca0",Article,Final,,Scopus,2-s2.0-84964504933
"Mishra, A., Alahari, K., Jawahar, C.V.","35475490000; 24829008000; 6701503911","Enhancing energy minimization framework for scene text recognition with top-down cues",2016,"Computer Vision and Image Understanding",145,"",,30,42,,7,10.1016/j.cviu.2016.01.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961169617&partnerID=40&md5=2bebc6fb1f11345bf04659bf36808af1",Article,Final,,Scopus,2-s2.0-84961169617
"Moevus, M., Jorand, Y., Olagnon, C., Maximilien, S., Anger, R., Fontaine, L., Arnaud, L.","16310229500; 6603464746; 7004614981; 7801635832; 56344802900; 56344783200; 56567688800","Earthen construction: an increase of the mechanical strength by optimizing the dispersion of the binder phase",2016,"Materials and Structures/Materiaux et Constructions",49,"4",,1555,1568,,8,10.1617/s11527-015-0595-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925426205&partnerID=40&md5=410f52847532414b964bf0142c1897fa",Article,Final,,Scopus,2-s2.0-84925426205
"Pinçon, C., Belkacem, K., Goupil, M.J.","57188961062; 55915985500; 7004467402","Generation of internal gravity waves by penetrative convection",2016,"Astronomy and Astrophysics",588,"", A122,,,,9,10.1051/0004-6361/201527663,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964389748&partnerID=40&md5=b75a05c86d9d186833a518ac84f0dea9",Article,Final,Open Access,Scopus,2-s2.0-84964389748
"Caliman, L.B., Bouchet, R., Gouvea, D., Soudant, P., Steil, M.C.","56394414400; 6603922555; 6602759264; 56816654000; 6601957572","Flash sintering of ionic conductors: The need of a reversible electrochemical reaction",2016,"Journal of the European Ceramic Society",36,"5",,1253,1260,,17,10.1016/j.jeurceramsoc.2015.12.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958747503&partnerID=40&md5=2212cb9ec832d9f5d3220558bd8c512d",Article,Final,,Scopus,2-s2.0-84958747503
"Mermillod, Q., Wigger, D., Delmonte, V., Reiter, D.E., Schneider, C., Kamp, M., Höfling, S., Langbein, W., Kuhn, T., Nogues, G., Kasprzak, J.","57115423000; 52365464200; 57188926511; 12792941300; 16426654300; 7005929919; 22035228900; 57203178131; 14421216800; 6603676449; 7007080579","Dynamics of excitons in individual InAs quantum dots revealed in four-wave mixing spectroscopy",2016,"Optica",3,"4",,377,384,,13,10.1364/OPTICA.3.000377,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964325612&partnerID=40&md5=46e8aa764621e3e6262b68dac4071add",Article,Final,,Scopus,2-s2.0-84964325612
"Quesne, M.G., Senthilnathan, D., Singh, D., Kumar, D., Maldivi, P., Sorokin, A.B., De Visser, S.P.","55210525400; 37087660100; 57198857072; 57202477864; 6603512938; 7202251541; 56066321600","Origin of the Enhanced Reactivity of μ-Nitrido-Bridged Diiron(IV)-Oxo Porphyrinoid Complexes over Cytochrome P450 Compound i",2016,"ACS Catalysis",6,"4",,2230,2243,,41,10.1021/acscatal.5b02720,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963610158&partnerID=40&md5=e26adf598d635a5ae767792045a247af",Article,Final,Open Access,Scopus,2-s2.0-84963610158
"Allard, N.F., Leininger, T., Gadéa, F.X., Brousseau-Couture, V., Dufour, P.","7004241402; 7003506396; 7003439832; 57188963409; 57206141110","Asymmetry in the triplet 3p-4s Mg lines in cool DZ white dwarfs",2016,"Astronomy and Astrophysics",588,"", A142,,,,9,10.1051/0004-6361/201527826,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964330993&partnerID=40&md5=e04fb8aa40d3be10a1e011245ecc8a99",Article,Final,Open Access,Scopus,2-s2.0-84964330993
"Tamanini, N., Caprini, C., Barausse, E., Sesana, A., Klein, A., Petiteau, A.","37005969000; 6506308125; 8331490400; 8621902600; 57199063689; 24336133400","Science with the space-based interferometer eLISA. III: Probing the expansion of the universe using gravitational wave standard sirens",2016,"Journal of Cosmology and Astroparticle Physics",2016,"4", 002,,,,42,10.1088/1475-7516/2016/04/002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963649282&partnerID=40&md5=dbe744c03b51888c9f1dbfd99a2562c5",Article,Final,,Scopus,2-s2.0-84963649282
"Foguet, C., Marin, S., Selivanov, V.A., Fanchon, E., Lee, W.-N.P., Guinovart, J.J., de Atauri, P., Cascante, M.","56426384400; 35964277500; 35567769700; 6603002610; 7407086860; 7005429593; 6603151649; 7006946294","HepatoDyn: A Dynamic Model of Hepatocyte Metabolism That Integrates <sup>13</sup>C Isotopomer Data",2016,"PLoS Computational Biology",12,"4", e1004899,,,,8,10.1371/journal.pcbi.1004899,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964794735&partnerID=40&md5=510c542bc766a6c3a3e55b4d876283f2",Article,Final,Open Access,Scopus,2-s2.0-84964794735
"Frandsen, K.E.H., Simmons, T.J., Dupree, P., Poulsen, J.-C.N., Hemsworth, G.R., Ciano, L., Johnston, E.M., Tovborg, M., Johansen, K.S., Von Freiesleben, P., Marmuse, L., Fort, S., Cottaz, S., Driguez, H., Henrissat, B., Lenfant, N., Tuna, F., Baldansuren, A., Davies, G.J., Lo Leggio, L., Walton, P.H.","57073675100; 55414366600; 7003450475; 7101864665; 50661471700; 35278151900; 56011113400; 51061625900; 36473579400; 36651932800; 8666823000; 7003284319; 6701480670; 7005521423; 7005911606; 36717930200; 6602468698; 26430356400; 35517179900; 56253986000; 7103328795","The molecular basis of polysaccharide cleavage by lytic polysaccharide monooxygenases",2016,"Nature Chemical Biology",12,"4",,298,303,,107,10.1038/nchembio.2029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959227665&partnerID=40&md5=1b28f306f3535a9cfde6306df49c262b",Article,Final,,Scopus,2-s2.0-84959227665
"Quintard, H., Patet, C., Zerlauth, J.-B., Suys, T., Bouzat, P., Pellerin, L., Meuli, R., Magistretti, P.J., Oddo, M.","20434345200; 56336733600; 36618495200; 55604212500; 16308831100; 7006987317; 7004907923; 7007046209; 8289320500","Improvement of Neuroenergetics by Hypertonic Lactate Therapy in Patients with Traumatic Brain Injury Is Dependent on Baseline Cerebral Lactate/Pyruvate Ratio",2016,"Journal of Neurotrauma",33,"7",,681,687,,25,10.1089/neu.2015.4057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964797279&partnerID=40&md5=e96b80079b1028be6017e2d9f5680c55",Article,Final,Open Access,Scopus,2-s2.0-84964797279
