UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;PLOS ONE;THE POLY-GAMMA-GLUTAMATE OF BACILLUS SUBTILIS INTERACTS SPECIFICALLY WITH SILVER NANOPARTICLES;"COUTE, YOHANN; ADRAIT, ANNIE";" INSERM CEA UGA, EDYP, BGE, BIG, GRENOBLE, FRANCE.;";;
;LIFE SCIENCE ALLIANCE;THE ARABIDOPSIS HOMOLOG OF HUMAN G3BP1 IS A KEY REGULATOR OF STOMATAL AND APOPLASTIC IMMUNITY;PFLIEGER, DELPHINE;" CNRS, BIG BGE, FR3425, GRENOBLE, FRANCE.;";;
;MOLECULAR & CELLULAR PROTEOMICS;QUANTITATIVE PHOSPHOPROTEOMIC ANALYSIS REVEALS SHARED AND SPECIFIC TARGETS OF ARABIDOPSIS MITOGEN-ACTIVATED PROTEIN KINASES (MAPKS) MPK3, MPK4, AND MPK6;"HESSE, ANNE-MARIE; PFLIEGER, DELPHINE";" CEA, INSERM, UGA, BIG,BGE,EDYP,U1038, F-38000 GRENOBLE, FRANCE.; ";;
;SCIENTIFIC REPORTS;LENS-FREE MICROSCOPY FOR 3D+TIME ACQUISITIONS OF 3D CELL CULTURE;"LAPERROUSAZ, BASTIEN; GIDROL, XAVIER; PICOLLET-D'HAHAN, NATHALIE";" INSERM, U1038, F-38054 GRENOBLE, FRANCE.;";;
;LEUKEMIA;PHOSPHORYLATION OF SOS1 ON TYROSINE 1196 PROMOTES ITS RAC GEF ACTIVITY AND CONTRIBUTES TO BCR-ABL LEUKEMOGENESIS;"SALEK, M.;";" INSERM, U1038, F-38054 GRENOBLE, FRANCE.; ";;
;CLINICAL CANCER RESEARCH;STABILIZATION OF SNAIL BY USP-1 MEDIATES CHEMORESISTANCE AND CELL PLASTICITY IN EPITHELIAL OVARIAN CANCER.;COUTE, YOHANN;" UGA, CEA, INSERM, U1038, GRENOBLE, FRANCE.;";;
BIG;;;;;;
;PLOS ONE;A QUANTITATIVE PROTEOMIC ANALYSIS OF COFILIN PHOSPHORYLATION IN MYELOID CELLS AND ITS MODULATION USING THE LIM KINASE INHIBITOR PYR1;"COLLIN-FAURE, VERONIQUE; RABILLOUD, THIERRY";" UNIV GRENOBLE ALOES, CHEM & BIOL MET, CNRS UMR5249, CEA,BIG LCBM, GRENOBLE, FRANCE.; ";;
;SCIENCE;NEUTRAL MASS SPECTROMETRY OF VIRUS CAPSIDS ABOVE 100 MEGADALTONS WITH NANOMECHANICAL RESONATORS;"DOMINGUEZ-MEDINA, SERGIO; STARK, ANN-KATHRIN; HALIM, MOHAMMAD ABDUL; MASSELON, CHRISTOPHE";" CEA, BIG, BIOL GRANDE ECHELLE, F-38054 GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;PHOTOHYDROGEN PRODUCTION FROM LACTOSE AND LACTATE BY RECOMBINANT STRAINS OF RHODOBACTER CAPSULATUS: MODELING AND OPTIMIZATION;"WILLISON, JOHN C.;";" CNRS, DRF BIG CBM, F-38000 GRENOBLE, FRANCE.; ";;
;INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;PHOTOHYDROGEN PRODUCTION FROM LACTOSE AND LACTATE BY RECOMBINANT STRAINS OF RHODOBACTER CAPSULATUS: MODELING AND OPTIMIZATION;"WILLISON, JOHN C.;";" CEA, DRF BIG CBM, F-38000 GRENOBLE, FRANCE.; ";;
;NUCLEIC ACIDS RESEARCH;PANCREATIC BETA-CELL TRNA HYPOMETHYLATION AND FRAGMENTATION LINK TRMT10A DEFICIENCY WITH DIABETES;ATTA, MOHAMED;" CEA GRENOBLE, DRF, BIG, LCBM,UMR5249, GRENOBLE, FRANCE.; ";;
;SKELETAL MUSCLE;DELETION OF THE MICROTUBULE-ASSOCIATED PROTEIN 6 (MAP6) RESULTS IN SKELETAL MUSCLE DYSFUNCTION;"ANDRIEUX, ANNIE; FOUREST-LIEUVIN, ANNE";" CEA GRENOBLE, BIG, F-38000 GRENOBLE, FRANCE.; ";;
;BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS;GLOBAL SPECTROSCOPIC ANALYSIS TO STUDY THE REGULATION OF THE PHOTOSYNTHETIC PROTON MOTIVE FORCE: A CRITICAL REAPPRAISAL;"ALLORENT, GUILLAUME; FINAZZI, GIOVANNI";" UGA, INST BIOSCI & BIOTECHNOL GRENOBLE BIG,INRA,CEA GR, COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT CEA, LAB PHYSIOL CELLULAIRE & VEGETALE,CNRS,UMR 5168, F-38000 GRENOBLE, FRANCE.; ";;
;CHEMOSPHERE;IMPACT OF CHRONIC AND LOW CADMIUM EXPOSURE OF RATS: SEX SPECIFIC DISRUPTION OF GLUCOSE METABOLISM;MOULIS, JEAN-MARC;" CEA DRF BIG, GRENOBLE, FRANCE.;";;
;NATURE COMMUNICATIONS;SINGLE-PARTICLE MASS SPECTROMETRY WITH ARRAYS OF FREQUENCY-ADDRESSED NANOMECHANICAL RESONATORS;MASSELON, CHRISTOPHE;" CEA, BIG, BIOL GRANDE ECHELLE, F-38054 GRENOBLE, FRANCE.; ";;
;HEALTH PHYSICS;INFLUENCE OF CONFOUNDING FACTORS ON RADIATION DOSE ESTIMATION USING IN VIVO VALIDATED TRANSCRIPTIONAL BIOMARKERS;"LAVAL, ANTOINE; TESTARD, ISABELLE; CANDEIAS, SERGE M.;";" CEA, DRF, BIG LCBM, F-38000 GRENOBLE, FRANCE.; ";;
;TOXICS;MITOCHONDRIAL MORPHOLOGY AND FUNCTION OF THE PANCREATIC -CELLS INS-1 MODEL UPON CHRONIC EXPOSURE TO SUB-LETHAL CADMIUM DOSES;MOULIS, JEAN-MARC;" CEA GRENOBLE, BIOSCI & BIOTECHNOL INST BIG, F-38054 GRENOBLE, FRANCE.;";;
;JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY;IRON-SULFUR CLUSTERS BIOGENESIS BY THE SUF MACHINERY: CLOSE TO THE MOLECULAR MECHANISM UNDERSTANDING;"PERARD, J.;; DE CHOUDENS, SANDRINE OLLAGNIER";" CEA GRENOBLE, DRF BIG CBM, GRENOBLE, FRANCE.;";;
;PLOS ONE;THE POLY-GAMMA-GLUTAMATE OF BACILLUS SUBTILIS INTERACTS SPECIFICALLY WITH SILVER NANOPARTICLES;"EYMARD-VERNAIN, ELISE; RABILLOUD, THIERRY; LELONG, CECILE";" UMR CNRS CEA UGA, PROMD, LCBM, BIG, GRENOBLE, FRANCE.; ";;
;JOURNAL OF BIOLOGICAL CHEMISTRY;THE ERPA/NFUA COMPLEX BUILDS AN OXIDATION-RESISTANT FE-S CLUSTER DELIVERY PATHWAY;"GEREZ, CATHERINE; DE CHOUDENS, SANDRINE OLLAGNIER";" CEA, DRF, BIG, CBM,BIOCAT, F-38054 GRENOBLE, FRANCE.; ";;
;PLOS ONE;OPTIMIZATION OF THE CYDEX BLUE ASSAY: A ONE-STEP COLORIMETRIC PROTEIN ASSAY USING CYCLODEXTRINS AND COMPATIBLE WITH DETERGENTS AND REDUCERS;RABILLOUD, THIERRY;" UNIV GRENOBLE ALOES, CHEM & BIOL MET, UMR5249, CNRS,CEA,BIG LCBM, GRENOBLE, FRANCE.;";;
;METALLOMICS;THE IRON REGULATORY PROTEINS ARE DEFECTIVE IN REPRESSING TRANSLATION VIA EXOGENOUS 5 ' IRON RESPONSIVE ELEMENTS DESPITE THEIR RELATIVE ABUNDANCE IN LEUKEMIC CELLULAR MODELS;"CHARBONNIER, PEGGY; LOUIS, FIONA; MOULIS, JEAN-MARC";" COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT, BIOSCI & BIOTECHNOL INST GRENOBLE BIG, GRENOBLE, FRANCE.;";;
;JOURNAL OF BREATH RESEARCH;PROTEOMIC CHARACTERIZATION OF HUMAN EXHALED BREATH CONDENSATE;"LACOMBE, MAUD; COMBES, FLORENCE; KRAUT, ALEXANDRA; BRULEY, CHRISTOPHE; VANDENBROUCK, YVES; COUTE, YOHANN; BRUN, VIRGINIE";" CEA GRENOBLE, BIG, BIOL GRANDE ECHELLE, F-38054 GRENOBLE, FRANCE.; ";;
